Item,Year,yield,rainfall,pesticides_tonnes,avg_temp
Maize,1990,36613,1485,121,16.37
Potatoes,1990,66667,1485,121,16.37
"Rice, paddy",1990,23333,1485,121,16.37
Sorghum,1990,12500,1485,121,16.37
Soybeans,1990,7000,1485,121,16.37
Wheat,1990,30197,1485,121,16.37
Maize,1991,29068,1485,121,15.36
Potatoes,1991,77818,1485,121,15.36
"Rice, paddy",1991,28538,1485,121,15.36
Sorghum,1991,6667,1485,121,15.36
Soybeans,1991,6066,1485,121,15.36
Wheat,1991,20698,1485,121,15.36
Maize,1992,24876,1485,121,16.06
Potatoes,1992,82920,1485,121,16.06
"Rice, paddy",1992,40000,1485,121,16.06
Sorghum,1992,3747,1485,121,16.06
Soybeans,1992,4507,1485,121,16.06
Wheat,1992,24388,1485,121,16.06
Maize,1993,24185,1485,121,16.05
Potatoes,1993,98446,1485,121,16.05
"Rice, paddy",1993,41786,1485,121,16.05
Soybeans,1993,7998,1485,121,16.05
Wheat,1993,29976,1485,121,16.05
Maize,1994,25848,1485,201,16.96
Potatoes,1994,81404,1485,201,16.96
Soybeans,1994,7927,1485,201,16.96
Wheat,1994,24745,1485,201,16.96
Maize,1995,31300,1485,251,15.67
Potatoes,1995,111323,1485,251,15.67
Soybeans,1995,11791,1485,251,15.67
Wheat,1995,28703,1485,251,15.67
Maize,1996,32604,1485,313.96,15.64
Potatoes,1996,106138,1485,313.96,15.64
Soybeans,1996,15480,1485,313.96,15.64
Wheat,1996,21741,1485,313.96,15.64
Maize,1997,31862,1485,376.93,15.9
Potatoes,1997,109874,1485,376.93,15.9
Soybeans,1997,12768,1485,376.93,15.9
Wheat,1997,28516,1485,376.93,15.9
Maize,1998,33416,1485,439.89,16.27
Potatoes,1998,127212,1485,439.89,16.27
Soybeans,1998,14327,1485,439.89,16.27
Wheat,1998,28037,1485,439.89,16.27
Maize,1999,37455,1485,502.86,16.57
Potatoes,1999,142018,1485,502.86,16.57
Soybeans,1999,17143,1485,502.86,16.57
Wheat,1999,24954,1485,502.86,16.57
Maize,2000,38811,1485,565.82,16.67
Potatoes,2000,141228,1485,565.82,16.67
Soybeans,2000,15000,1485,565.82,16.67
Wheat,2000,30455,1485,565.82,16.67
Maize,2001,38135,1485,628.79,16.59
Potatoes,2001,148818,1485,628.79,16.59
Soybeans,2001,20000,1485,628.79,16.59
Wheat,2001,28220,1485,628.79,16.59
Maize,2002,39460,1485,691.75,16.47
Potatoes,2002,153868,1485,691.75,16.47
Soybeans,2002,20000,1485,691.75,16.47
Wheat,2002,31617,1485,691.75,16.47
Maize,2004,46197,1485,817.68,16.16
Potatoes,2004,149346,1485,817.68,16.16
Soybeans,2004,13333,1485,817.68,16.16
Wheat,2004,31130,1485,817.68,16.16
Maize,2005,45442,1485,880.64,15.67
Potatoes,2005,167061,1485,880.64,15.67
Soybeans,2005,17500,1485,880.64,15.67
Wheat,2005,31582,1485,880.64,15.67
Maize,2006,50111,1485,943.61,15.92
Potatoes,2006,170745,1485,943.61,15.92
Soybeans,2006,20000,1485,943.61,15.92
Wheat,2006,30787,1485,943.61,15.92
Maize,2007,46732,1485,1006.57,16.67
Potatoes,2007,188902,1485,1006.57,16.67
Soybeans,2007,20000,1485,1006.57,16.67
Wheat,2007,35496,1485,1006.57,16.67
Maize,2008,50000,1485,1069.54,16.71
Potatoes,2008,193878,1485,1069.54,16.71
Soybeans,2008,20000,1485,1069.54,16.71
Wheat,2008,40168,1485,1069.54,16.71
Maize,2009,55693,1485,1132.5,16.73
Potatoes,2009,219780,1485,1132.5,16.73
Soybeans,2009,16667,1485,1132.5,16.73
Wheat,2009,40229,1485,1132.5,16.73
Maize,2010,66790,1485,1311.17,16.52
Potatoes,2010,231111,1485,1311.17,16.52
Soybeans,2010,16667,1485,1311.17,16.52
Wheat,2010,39905,1485,1311.17,16.52
Maize,2011,59869,1485,1302.63,16.45
Potatoes,2011,242211,1485,1302.63,16.45
Soybeans,2011,18519,1485,1302.63,16.45
Wheat,2011,42301,1485,1302.63,16.45
Maize,2012,67290,1485,766.25,16.7
Potatoes,2012,250538,1485,766.25,16.7
Soybeans,2012,13333,1485,766.25,16.7
Wheat,2012,41096,1485,766.25,16.7
Maize,2013,69533,1485,982.32,17.41
Potatoes,2013,260110,1485,982.32,17.41
Soybeans,2013,10000,1485,982.32,17.41
Wheat,2013,41292,1485,982.32,17.41
Maize,1990,16500,89,1828.92,17.48
Potatoes,1990,78936,89,1828.92,17.48
"Rice, paddy",1990,28000,89,1828.92,17.48
Sorghum,1990,16571,89,1828.92,17.48
Wheat,1990,6315,89,1828.92,17.48
Maize,1991,19231,89,2461.8,16.26
Potatoes,1991,90747,89,2461.8,16.26
"Rice, paddy",1991,26786,89,2461.8,16.26
Sorghum,1991,24231,89,2461.8,16.26
Wheat,1991,10809,89,2461.8,16.26
Maize,1992,22828,89,1215.47,16.27
Potatoes,1992,107917,89,1215.47,16.27
"Rice, paddy",1992,24733,89,1215.47,16.27
Sorghum,1992,40000,89,1215.47,16.27
Wheat,1992,9939,89,1215.47,16.27
Maize,1993,12500,89,1021.89,17
Potatoes,1993,111215,89,1021.89,17
"Rice, paddy",1993,23111,89,1021.89,17
Sorghum,1993,50000,89,1021.89,17
